Название,Страна,Категория,Канал,Жанр,Год,Режиссер,Актеры,Теги,Рейтинг,Количество серий,Озвучка
Лёгкая улыбка покоряет мир,Китай,Сериал,JSTV,романтика,2016,Линь Юй Фэнь,"Чжэн Шуан,Ян Ян","игры,университет,спорт",4.5,30,Да
Влюбиться в твою улыбку,Китай,Сериал,Tencent Video,"романтика,комедия",2021,Цю Чжун Вэй,"Сюй Кай,Чэн Сяо","киберспорт,игры",4.5,31,Нет
Ты мой триумф,Китай,Сериал,Tencent Video,"романтика,комедия",2021,"
Ван Чжи","Дильраба Дильмурат,Ян Ян","игры,знаменитости,инженеры",5,32,Да
Girlfriend,Китай,Сериал,Mango TV,"романтика,комедия",2020,Мин Янь,"Сюй Хао,У Хао Цзэ,Ван Гуань И,Ни Хань Цзинь",знаменитости,4.5,36,Да
Поразительное на каждом шагу,Китай,Сериал,Hunan TV,"фантастика,драма,исторический,романтика",2011,У Цзинь Юань,"Лю Ши Ши,Никки Ву,Кевин Чэн,Юань Хун,Линь Гэн Синь","путешествия во времени,королевская семья,жестокость",4.5,35,Да
Императрица Китая,Китай,Сериал,Hunan TV,"политика,романтика,исторический,биография",2014,Гао И Цзюнь,"Фань Бин Бин,Чжан Фэн И,Аариф Рахман","королевская семья,убийцы,жестокость",4.5,82,Да
"Люби меня, если осмелишься",Китай,Сериал,Dragon TV,"детектив,романтика,триллер,психология,мелодрама",2015,: Чжан Кай Чжоу,"Ма Сы Чунь,Уоллес Хо","убийцы,жестокость,полиция",4.5,24,Да
Так я женился на антифанатке,Китай,Полнометражный,-,"романтика,комедия",2016,Цзинь Ди Жун,"Юань Шань Шань,Пак Чан Ёль","знаменитости,музыка",4.5,1,Да
Алые сердца: Корё,Южная Корея,Сериал,SBS,"мелодрама,исторический,романтика,фантастика,драма",2016,Ким Гю Тхэ,"Ли Джун Ки,АйЮ","путешествия во времени,королевская семья,жестокость",4.5,20,Да
Вера,Южная Корея,Сериал,SBS,"исторический,фантастика,романтика,драма",2012,Ким Чон Хак,"Ю О Сон,Ким Хи Сон,Ли Мин Хо","история,путешествия во времени,королевская семья,жестокость ",4.5,24,Да
Городской охотник,Южная Корея,Сериал,SBS,"детектив,драма,триллер,боевик,романтика",2011,Син Ён Хви,"Ли Джун Хёк,Ли Мин Хо,Пак Мин Ён","месть,шпионы,боевые искусства",4.5,20,Да
Я слышу твой голос,Южная Корея,Сериал,SBS,"драма,романтика,триллер,детектив,фантастика,комедия",2013,Чо Су Вон,"Ли Чон Сок,Юн Сан Хён,Ли Да Хи,Ли Бо Ён,Чон Ун Ин","месть,амнезия,юристы,сверхспособности",5,18,Да
Пока ты спишь,Южная Корея,Сериал,SBS,"фантастика,романтика,комедия,драма",2017,О Чун Хван,"Ли Чон Сок,Пэ Сюзи,Ли Сан Ёп,Чон Хэ Ин","сверхспособности,романтика,видения",4.5,16,Да
Хилер,Южная Корея,Сериал,KBS2,"романтика,триллер,детектив,драма,боевик,комедия",2014,Ли Чон Соп,"Чжи Чан Ук,Ю Джи Тхэ,Пак Мин Ён","журналисты,шпионы,боевые искусства",5,20,Да
Голос,Южная Корея,Сериал,OCN,"криминал,триллер,детектив",2017,Ким Хон Сон,"Чан Хёк,Ли Ха На","сверхспособности,убийцы,полиция",4.5,16,Да
Туннель,Южная Корея,Сериал,OCN,"триллер,детектив,фантастика,криминал",2017,Син Ён Хви,"Юн Хён Мин,Ли Ю Ён,Чхве Джин Хёк","путешествия во времени,полиция,убийцы",4.5,16,Да
Этот психометрический парень,Южная Корея,Сериал,tvN,"триллер,фантастика,романтика,детектив",2019,Ким Пён Су,"Пак Джин Ён,Син Йе Ын","сверхспособности,школа",4.5,16,Да
W: Меж двух миров,Южная Корея,Сериал,MBC,"романтика,фантастика,триллер",2016,Пак Сын У,"Ли Чон Сок,Хан Хё Чжу","амнезия,другие миры,манга",4.5,16,Да
Императрица Ки,Южная Корея,Сериал,MBC,"драма,мелодрама,исторический,политика,романтика,гендерная интрига",2013,Ли Сон Джун,"Ха Чжи Вон,Чу Чжин Мо Чжи Чан Ук","королевская семья,жестокость",5,51,Да
200 фунтов красоты,Южная Корея,Полнометражный,-,"драма,мелодрама,музыкальный,комедия,романтика",2006,Ким Ён Хва,"Ким А Джун,Чу Чжин Мо","пластическая операция,полные девушки,музыка,месть",4.5,1,Нет
Полночь,Южная Корея,Полнометражный,-,"саспенс,триллер",2021,Квон О Сын,"Пак Хун,Ви Ха Чжун,Гиль Хэ Ён,Чжин Ки Чжу,Ким Хе Юн","убийцы,жестокость",4.5,1,Да
Брызги любви,Южная Корея,Мини-сериал,MBC,"фантастика,романтика,гендерная интрига,комедия,исторический",2015,Ким Джи Хён,"Юн Ду Джун,Ким Сыль Ги",путешествия во времени,4.5,2,Да
Три цвета фантазии: Звезда вселенной,Южная Корея,Мини-сериал,MBC,"фэнтези,музыкальный,драма,романтика,трагедия",2016,Ким Джи Хён,"Чжи У,Сухо","привидения,музыка",4.5,21,Да
День рождения в печали,Южная Корея,Мини-сериал,Naver TV Cast,"триллер,драма,фантастика,романтика",2021,Пак Дан Хи,"Ли Сан Джун,Ю Су Бин,Мун Джу Вон,Йери,Ян Хон Сок","путешествия во времени,школа,смерть",4.5,16,Нет
Чудо,Южная Корея,Мини-сериал,Naver TV Cast,"комедия,романтика,фантастика,музыкальный,школа",2016,Квон Джин Мо,"Ким На Хён,Хон Юн Хва,Ян Хак Джин,Ким Дон Хён","обмен телами,музыка,полные девушки",4.5,12,да
